genre,meta_mixed,meta_negative,meta_positive,metascore,movie_title,release_date,user_mixed,user_negative,user_positive,userscore
"Mystery,Thriller,Horror",14,7,13,46,Secret Window,12-Mar-04,41,36,48,5.2
Animation,6,1,25,69,Arthur Christmas,23-Nov-11,15,6,97,7.5
"Action,Drama,Thriller",12,3,22,56,The Kingdom,28-Sep-07,29,21,68,6.2
"Adventure,Sci-Fi,Mystery,Thriller,Fantasy,Horror,Comedy,Crime,Animation,Family",13,3,7,54,Hotel Transylvania 3: Summer Vacation,13-Jul-18,48,18,51,6
"History,Crime,Documentary",2,1,30,90,The Act of Killing,19-Jul-13,5,7,101,8.4
"Sci-Fi,Drama,Crime",17,0,21,64,The Rover,13-Jun-14,21,13,78,7
Drama,8,1,26,73,Notes on a Scandal,27-Dec-06,15,5,91,7.9
Comedy,4,7,0,28,Fifty Shades of Black,29-Jan-16,14,83,14,2.2
"Biography,Drama,History,Romance",4,0,42,79,Loving,4-Nov-16,23,4,83,7.3
"Drama,Comedy",6,0,32,76,Me and You and Everyone We Know,17-Jun-05,9,21,79,7
"Action,Adventure,Sci-Fi,Drama,Horror",5,0,9,67,Shin Godzilla (Godzilla Resurgence),11-Oct-16,12,16,80,7.3
"Action,Adventure,Romance,War",1,0,17,76,The Last of the Mohicans,25-Sep-92,9,5,90,8.2
Drama,9,0,24,66,The Way Back,21-Jan-11,19,7,76,7.2
"Action,Thriller,Western",3,2,22,72,Slow West,15-May-15,28,8,64,6.6
"Drama,Comedy",1,0,35,81,The Station Agent,3-Oct-03,2,4,93,8.7
"Drama,Mystery,Romance",5,1,33,73,Rust and Bone,23-Nov-12,10,3,81,7.9
"Thriller,Documentary",6,2,21,65,Catfish,17-Sep-10,15,9,70,7.1
"Drama,Comedy,Romance",7,1,24,71,Drinking Buddies,23-Aug-13,24,14,54,6.5
"Drama,Mystery,Thriller,Horror,Music,Musical",10,3,24,67,Climax,1-Mar-19,15,11,64,7.3
Drama,1,0,28,83,Mustang,20-Nov-15,14,6,67,7.7
